title,company,location,description,employment_type,contract_type,date_posted,job_url
Chef de Projets Dechets - NG H/F,SCE,"Villeurbanne, Lyon","Plus de 120 collaborateurs et collaboratrices au sein de l'activité Environnement & Biodiversité de SCE oeuvrent à intégrer la prise en compte de l'environnement depuis l'élaboration des stratégies d'aménagement des territoires jusqu'à la réalisation des projets. Aujourd'hui bonne nouvelle, le collaborateur ou la collaboratrice que nous cherchons pourra facilement trouver sa place au sein de nos agences de Lyon ou Nantes. Où que vous soyez hébergé(e), vous rejoindrez au sein du domaine Sites po…",,full_time,2024-08-28,https://www.adzuna.fr/land/ad/4841862480?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=85AFBFA8D14E9F8753C7E21A284464078596A85B
AI Scientist - Safety,Mistral AI,France,"Role Summary We are seeking an AI Scientist, Safety to evaluate, enhance, and build safety mechanisms for our large language models (LLMs). This role involves identifying and addressing potential risks, biases, and misuses of LLMs, ensuring that our AI systems are ethical, fair, and beneficial to society. You will work to monitor models, prevent misuse, and ensure user well-being, applying your technical skills to uphold principles of safety, transparency, and oversight. Location : Paris or Lon…",,full_time,2024-11-08,https://www.adzuna.fr/details/4931363577?utm_medium=api&utm_source=e74b959f
Senior AI Engineer,Inato,"Paris, Ile-de-France","Who we are Inato is a Tech for Good company striving to bring clinical research to each and every patient, regardless of who they are or where they live. To do this, we are building the world's first clinical trial platform to create greater visibility, access, and engagement across a more diverse population of doctors and their patients. Drug development is a challenging, intellectually complex, and rewarding endeavor : we enable global pharmaceutical companies to confidently partner with comm…",,,2024-11-11,https://www.adzuna.fr/land/ad/4934698056?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=FF8BD9380451CF11F0EBB281E3FBD8F328795274
Senior AI Engineer,Norbert Health,"Paris, Ile-de-France","The company In the future, our health will be monitored continuously by ambient sensors in our homes, that will detect and monitor nearly invisible trends or changes in our habits and vital signs, and detect health medical problems such as infections, or deteriorations in chronic conditions, before the first perceptible symptom even occurs. Norbert Health has built the first AI health hub that makes this future a reality. Our device is a sleek, plug-and-play, consumer grade AI powered hub that …",,,2024-11-11,https://www.adzuna.fr/land/ad/4934706376?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=6F9A316DDFFBDB9140D94C77AA5A8ACB7F928E65
AI Software Architect,Louis Dreyfus Company B.V.,"Villeurbanne, Lyon","Professional Areas: Digital Technology & Analytics Company Overview: Louis Dreyfus Company is a leading merchant and processor of agricultural goods. Our activities span the entire value chain from farm to fork, across a broad range of business lines, leveraging our global reach and extensive asset network to serve our customers and consumers around the world. Structured as a matrix organization of six geographical regions and eight platforms , we are active in over 100 countries and employ app…",,,2024-11-19,https://www.adzuna.fr/land/ad/4944204479?se=wCU0xjGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=D40C1E1FD76F651EC8D33DF90C94E59DF836B43E
AI Industry Consultant,Schneider Electric,"Paris, Ile-de-France","Basic Qualifications: Masters or Ph.D. (Computer Science, Statistics, Engineering, Physics, Mathematics, Economics) Minimum 3 years of Data Science experience for Ph.D. candidates and 5 years for master’s candidates Minimum 3 years of work experience in relevant domains (Energy, Oil & Gas, Chemicals, Natural Resources, Mining & Metals, Utilities or Power) – with hands on experience handling data driven decisions Minimum 3 years of experience in at least one of the following – Supervised and Uns…",,full_time,2024-07-30,https://www.adzuna.fr/details/4801613048?utm_medium=api&utm_source=e74b959f
Internship - AI Engineer,Sinay,"Calvados, Normandie","As a member of Sinay’s Tech team, you will be involved in setting up and developing Artificial Intelligence (AI) projects. Your main activities will include Design and implement Machine Learning and Deep Learning models for data analysis and prediction of key indicators; Contribute to the implementation of methods and tools for the management and visualization of massive data; Help develop strategies for deploying and scaling AI models in production; Contribute to the research and experimentati…",,,2024-10-30,https://www.adzuna.fr/details/4918554674?utm_medium=api&utm_source=e74b959f
Senior AI Engineer,Norbert Health,"Paris, Ile-de-France","The company In the future, our health will be monitored continuously by ambient sensors in our homes, that will detect and monitor nearly invisible trends or changes in our habits and vital signs, and detect health medical problems such as infections, or deteriorations in chronic conditions, before the first perceptible symptom even occurs. Norbert Health has built the first AI health hub that makes this future a reality. Our device is a sleek, plug-and-play, consumer grade AI powered hub that …",,,2024-04-18,https://www.adzuna.fr/details/4654738631?utm_medium=api&utm_source=e74b959f
Generative AI Internship,Moody's,"Puteaux, Nanterre","Moody’s is a developmental culture where we value candidates who are willing to grow. So, if you are excited about this opportunity but don’t meet every single requirement, please apply You may be a perfect fit for this role or other open roles. Moody's is a global integrated risk assessment firm that empowers organizations to make better decisions. At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. W…",,,2024-03-06,https://www.adzuna.fr/details/4595332178?utm_medium=api&utm_source=e74b959f
Embedded AI Engineer,IC Resources,"Grenoble, Isère","Embedded AI Software Development Engineer Overview: Montbonnot-Saint-Martin / Permanent Contract (CDI) / Hybrid working Join a Deep Tech company based near Grenoble that are recognised for their groundbreaking advancements in both hardware and software technologies, tailored to meet the demands of high-performance computing markets. They continually push the boundaries of what's possible in data-centric computing, setting new standards for excellence in the industry. Embedded AI Software Develo…",permanent,,2024-04-09,https://www.adzuna.fr/details/4642379943?utm_medium=api&utm_source=e74b959f
